shoe_id,brand,name,lightweight,rocker,removable_insole,pace_daily_running,pace_tempo,pace_competition,arch_neutral,arch_stability,weight_lab_oz,drop_lab_mm,strike_heel,strike_mid,strike_forefoot,midsole_softness,toebox_durability,heel_durability,outsole_durability,breathability_scaled,width_fit,toebox_width,stiffness_scaled,torsional_rigidity,heel_stiff,plate_rock_plate,plate_carbon_plate,heel_lab_mm,forefoot_lab_mm,season_summer,season_winter,season_all
r087,asics,gel cumulus 25,0,0,1,1,0,0,1,0,9.5,11.2,1,0,0,5,3,4,0,3,1,1,3,3,3,0,0,38.4,27.2,0,0,1
r088,asics,gel cumulus 27,0,0,1,1,0,0,1,0,9.2,11.6,1,0,0,5,4,4,2,1,3,3,3,5,5,0,0,40.9,29.3,0,0,1
r089,asics,gel excite 10,0,0,1,1,0,0,1,0,9.5,11.8,1,0,0,3,3,4,4,3,3,3,3,3,3,0,0,35.2,23.4,0,0,1
r090,asics,gel excite 8,0,0,0,1,0,0,1,0,9.5,12.3,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,35.8,23.5,0,0,0
r091,asics,gel kayano 28,0,0,1,1,0,0,0,1,10.7,8.7,1,1,1,0,0,0,0,0,3,0,0,3,0,0,0,31.8,23.1,0,0,0
r092,asics,gel kayano 30,0,1,1,1,0,0,0,1,10.7,12.0,1,0,0,5,4,2,4,5,3,3,3,5,5,0,0,39.7,27.7,1,0,1
r093,asics,gel kayano 31,0,0,1,1,0,0,0,1,10.4,11.5,1,0,0,5,4,4,3,3,5,3,3,5,5,0,0,39.3,27.8,0,0,1
r094,asics,gel kayano 32,0,0,1,1,0,0,0,1,10.4,9.3,1,1,1,3,4,4,4,3,3,3,3,5,5,0,0,39.9,30.6,0,0,1
r095,asics,gel kayano lite 2,0,1,1,1,0,0,0,1,10.1,11.1,1,0,0,0,0,0,0,0,3,0,5,5,5,0,0,35.9,24.8,0,0,0
r096,asics,gel kayano lite 3,0,1,1,1,0,0,0,1,9.8,8.5,1,1,1,3,0,0,0,5,3,0,5,3,3,0,0,31.8,23.3,1,0,1
r097,asics,gel kinsei max,0,1,1,1,0,0,1,0,11.4,8.6,1,1,1,5,3,3,4,3,3,3,3,5,5,0,0,38.8,30.2,0,0,1
r098,asics,gel nimbus 24,0,1,0,1,0,0,1,0,9.3,8.7,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,38.7,30.0,0,0,0
r099,asics,gel nimbus 25,0,1,1,1,0,0,1,0,10.2,7.8,0,1,1,5,0,0,0,3,1,0,3,5,3,0,0,38.0,30.2,0,0,1
r100,asics,gel nimbus 26,0,1,1,1,0,0,1,0,10.7,8.4,1,1,1,5,4,4,4,3,5,3,3,5,3,0,0,40.4,32.0,0,0,1
r101,asics,gel nimbus 27,0,1,1,1,0,0,1,0,10.5,8.3,1,1,1,3,3,4,4,3,3,3,5,5,5,0,0,42.7,34.4,0,0,1
r102,asics,gel nimbus lite 3,0,1,0,1,0,0,1,0,9.0,9.9,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,34.9,25.0,0,0,0
r103,asics,gel pulse 11,0,0,0,1,0,0,1,0,11.1,8.7,1,1,1,0,0,0,0,0,3,0,5,0,0,0,0,34.0,25.3,0,0,0
r104,asics,gel pulse 13,0,0,1,1,0,0,1,0,10.3,11.0,1,0,0,3,2,0,0,5,1,3,3,1,3,0,0,32.6,21.6,1,0,1
r105,asics,gel pulse 14,0,0,1,1,0,0,1,0,10.4,9.7,1,1,1,3,2,4,4,3,3,3,3,3,5,0,0,32.0,22.3,0,0,1
r106,asics,gel pulse 15,1,0,1,1,0,0,1,0,8.4,8.1,1,1,1,3,3,4,4,3,3,3,3,5,5,0,0,35.3,27.2,0,0,1
r107,asics,glideride 3,0,1,1,1,0,0,1,0,9.5,11.1,1,0,0,5,0,2,0,3,1,0,5,5,1,0,0,42.7,31.6,0,0,1
